dm	DM
gsm-оператор	GSM-оператор
втори	II
трети	III
номер	No
us	US
а	А
аец	АЕЦ
ап	АП
афп	АФП
абаджиев	Абаджиев
австрия	Австрия
агов	Агов
аз	Аз
азия	Азия
ако	Ако
ал	Ал
александър	Александър
алън	Алън
америка	Америка
ами	Ами
андон	Андон
андрей	Андрей
арсов	Арсов
асен	Асен
атанасов	Атанасов
бдж	БДЖ
бнр	БНР
бнт	БНТ
бсп	БСП
бта	БТА
бтк	БТК
бфс	БФС
балкан	Балкан
балкан	Балканите
барак	Барак
белгия	Белгия
белград	Белград
бергман	Бергман
бешикташ	Бешикташ
благоевград	Благоевград
божидар	Божидар
бойко	Бойко
бонев	Бонев
борис	Борис
борисов	Борисовата
бразилия	Бразилия
брюксел	Брюксел
бургас	Бургас
бурса	Бурса
буш	Буш
българия	България
в	В
валентин	Валентин
варна	Варна
аз	Вас
васил	Васил
василев	Василев
великобритания	Великобритания
виденов	Виденов
видин	Видин
аз	Вие
виктор	Виктор
владимир	Владимир
въоръжа	Въоръжените
георгиева	ГЕОРГИЕВА
газстроймонтаж	Газстроймонтаж
георги	Георги
георгиев	Георгиев
гергьовден	Гергьовден
германия	Германия
гор	Гор
гърция	Гърция
ддс	ДДС
дпс	ДПС
дс	ДС
да	Да
дания	Дания
джон	Джон
джордж	Джордж
димитров	Димитров
димитър	Димитър
добрич	Добрич
доган	Доган
дондуков	Дондуков
дунав	Дунав
енп	ЕНП
ета	ЕТА
европа	Европа
евросъюз	Евросъюза
екатерина	Екатерина
елена	Елена
емануил	Емануил
емил	Емил
ериксон	Ериксон
жердицкий	Жердицкий
жотев	Жотев
за	За
захари	Захари
защо	Защо
и	И
итар-тасс	ИТАР-ТАСС
ивайло	Ивайло
иван	Иван
иванов	Иванов
израел	Израел
илиев	Илиев
иран	Иран
испания	Испания
италия	Италия
йовков	Йовков
йордан	Йордан
йорданов	Йорданов
йорк	Йорк
кнсб	КНСБ
какъв	Какви
какъв	Какво
какъв	Какъв
капустин	Капустин
карадимов	Карадимов
кларк	Кларк
клинтън	Клинтън
колев	Колев
коледа	Коледа
константин	Константин
консуело	Консуело
косово	Косово
костов	Костов
красимир	Красимир
кръстьо	Кръстьо
курск	Курск
лукойл	ЛУКойл
левски	Левски
ловеч	Ловеч
лондон	Лондон
мвр	МВР
мс	МС
македония	Македония
максим	Максим
марадона	Марадона
маринов	Маринов
марио	Марио
мария	Мария
милошевич	Милошевич
михайлов	Михайлов
михайлова	Михайлова
младенов	Младенов
моника	Моника
москва	Москва
на	НА
нато	НАТО
ндк	НДК
нис	НИС
нс	НС
на	На
надежда	Надежда
наполи	Наполи
наско	Наско
не	Не
нефтохимик	Нефтохимик
аз	Ние
никола	Никола
николай	Николай
николов	Николов
ница	Ница
ню	Ню
нямам	Няма
одс	ОДС
оон	ООН
от	От
павел	Павел
париж	Париж
пейчев	Пейчев
перник	Перник
петков	Петков
петров	Петров
петрова	Петрова
петър	Петър
плама	Плама
пламен	Пламен
плевен	Плевен
пловдив	Пловдив
по	По
полша	Полша
порточанов	Порточанов
португалия	Португалия
преди	Преди
проди	Проди
путин	Путин
първанов	Първанов
радев	Радев
ройтерс	Ройтерс
румъния	Румъния
русе	Русе
русия	Русия
с	С
сащ	САЩ
сдс	СДС
соти	СОТИ
свети	Св.
семов	Семов
сидни	Сидни
симеон	Симеон
сираков	Сираков
славински	Славински
словакия	Словакия
соколов	Соколов
софарма	Софарма
софия	София
софиянски	Софиянски
стефан	Стефан
стоичков	Стоичков
стоян	Стоян
стоянов	Стоянов
сърбия	Сърбия
този	Тази
аз	Ти
този	Това
тодор	Тодор
тодоров	Тодоров
аз	Той
топалов	Топалов
турция	Турция
търново	Търново
уайлд	Уайлд
украйна	Украйна
унгария	Унгария
фифа	ФИФА
филчев	Филчев
флорида	Флорида
франция	Франция
холандия	Холандия
христо	Христо
христов	Христов
цска	ЦСКА
циана	Циана
чехия	Чехия
чирипов	Чирипов
шейтанов	Шейтанов
ще	Ще
югославия	Югославия
ямбол	Ямбол
яна	Яна
бял	бели
бял	белите
съм	би
бия-(се)	бие
съм	бил
съм	била
съм	били
съм	било
съм	бих
съм	биха
съм	бихте
благодарение	благодарение
божидар	божидар
българия	българия
вариант	варианти
аз	вас
вдигам-(се)	вдига
вдигна-(се)	вдигна
вдигна-(се)	вдигне
видя-(се)	видя
видя-(се)	видял
видя-(се)	видях
аз	вие
виждам-(се)	вижда
виждам-(се)	виждам
виждам-(се)	виждаме
виждам-(се)	виждаше
включвам-(се)	включва
включвам-(се)	включват
включа-(се)	включи
водене	водене
водя	водещи
водя	води
връщам-(се)	връща
всеки	всичко
във	във
върна-(се)	върна
върна-(се)	върне
генерал	ген.
аз	ги
аз	го
годишно	годишно
давам-(се)	дава
давам-(се)	дават
дам-(се)	дадат
дам-(се)	даде
дам-(се)	дал
далеч	далеч
дам-(се)	дам
данна	данни
дано	дано
движа-(се)	движи
действително	действително
деля-(се)	делят
който	дето
добър	добра
добър	добри
добър	добрите
колкото	доколкото
дорде	дорде
досие	досиетата
друг	др.
държа-(се)	държеше
държа-(се)	държи
един	едно
заведение	заведения
загубя-(се)	загубил
задържа-(се)	задържаните
заема-(се)	зае
заместник-министър	зам.-министъра
заместник-шеф	зам.-шефът
запаля-(се)	запали
запозная-(се)	запознати
започвам-(се)	започва
започвам-(се)	започваме
започвам-(се)	започват
засмея-се	засмя
знам	зная
знам	знаят
иван	иван
иден	идната
изненадващо	изненадващо
изправя-(се)	изправени
изпълня-(се)	изпълни
изтегля-(се)	изтегли
изтъквам	изтъква
така	иначе
казвам-(се)	казва
казвам-(се)	казват
какъв	какво
категорично	категорично
километър	километра
кирил	кирил
километър	км
коалиционен	коалиционна
кой	коя
личностен	личностен
логично	логично
малък	малки
махна-(се)	махна
аз	мене
мигар	мигар
мина-(се)	миналата
мина-(се)	миналия
мито	мита
милион	млн.
милиард	млрд.
моля-(се)	моля
наведа-(се)	наведе
надявам-се	надявам
вече	най-вече
после	най-после
сетне	най-сетне
налагам-(се)	налага
налагам-(се)	налагат
наложа-(се)	наложи
намеря-(се)	намери
намеря-(се)	намеря
намирам-(се)	намират
направя-(се)	направено
направя-(се)	направи
направя-(се)	направил
направя-(се)	направили
направя-(се)	направят
наричам-(се)	нарича
аз	нас
настоявам-(се)	настоява
там	нататък
наш	нашия
аз	него
мой	негов
мой	негова
мой	неговата
мой	негови
мой	неговия
мой	неговият
мой	негово
мой	неговото
мой	нейна
мой	нейната
мой	нейни
мой	нейните
мой	нейния
мой	нейният
мой	нейното
някой	неща
някой	нещата
някой	нещо
аз	нея
ниво	нива
аз	ние
аз	ний
никой	нищо
новинар	новинар
нося-(се)	носи
нося-(се)	носят
нуждая-се	нуждае
нямам	няма
обърна-(се)	обърна
обявя-(се)	обяви
обявя-(се)	обявиха
обявявам-(се)	обявява
обясня-(се)	обясни
обясня-(се)	обясниха
обяснявам-(се)	обяснява
обяснявам-(се)	обясняват
окажа-(се)	оказа
окончателно	окончателно
този	онази
този	онези
този	ония
този	онова
този	оня
опитам-(се)	опитай
опитвам-(се)	опитват
определя-(се)	определен
определя-(се)	определени
организирам	организираната
освободя-(се)	освободи
остана	останал
осъществявам-(се)	осъществява
отворя-(се)	отвори
отивам-(си)	отива
отида-(си)	отида
отида-(си)	отидат
отида-(си)	отишъл
откажа-(се)	отказа
откажа-(се)	отказали
откажа-(се)	отказаха
когато	откакто
открия-(се)	откри
къде	откъде
откъм	откъм
отпреди	отпреди
отрека-(се)	отрече
там	оттам
тогава	оттогава
там	оттук
падам-(се)	пада
падам-(се)	падат
падна-(се)	падна
падна-(се)	паднат
падна-(се)	паднаха
падна-(се)	падне
пазя-(се)	пази
пара	парите
парно	парното
пенсионерка	пенсионерка
петър	петър
пиратка	пиратки
питам-(се)	пита
питам-(се)	питат
повече	повече
подавам-(се)	подава
подам-(се)	подаде
подире	подире
подкрепя	подкрепи
подпиша-(се)	подписан
подпомагам	подпомага
позволя-(си)	позволи
позова-(се)	позова
покажа-(се)	показа
показвам-(се)	показва
показвам-(се)	показват
някога	понякога
посветя-(се)	посветена
поставя-(се)	постави
постоянно	постоянно
почина-(си)	почина
почина-(си)	починал
почна-(се)	почна
появя-се	появи
право	права
правя-(се)	правим
правя-(се)	правиш
правя-(се)	правя
правя-(се)	правят
пране	пране
превърна-(се)	превърне
преговори	преговори
предам-(се)	предаде
предам-(се)	предадоха
представя-(се)	представена
прекратявам	прекратяват
преча-(се)	пречат
преча-(се)	пречи
призная-(се)	призна
признавам-(се)	признава
призная-(се)	признае
прогнозирам	прогнозира
продължение	продължение
пусна-(се)	пусна
пълен	пълно
пръв	първа
пръв	първата
пръв	първите
пръв	първия
пръв	първият
пръв	първото
радвам-(се)	радвам
разбера-(се)	разбере
разбирам-(се)	разбира
разбирам-(се)	разбират
разбера-(се)	разбра
развивам-(се)	развива
разделя-(се)	раздели
разтревожа-(се)	разтревожи
раня	ранен
реагиране	реагиране
решавам-(се)	решава
решение	решения
родя-(се)	роди
ръководя-(се)	ръководи
самостоятелно	самостоятелно
свети	св.
свържа	свързан
свържа	свързани
скрия-(се)	скри
следвам	следващата
следвам	следващите
следвам	следващия
случа-(се)	случи
справяне	справяне
справяне	справянето
справя-се	справят
спра-(се)	спре
спра-(се)	спря
средно	средно
срещна-(се)	срещна
срещна-(се)	срещнаха
срещна-(се)	срещне
сторя-(се)	стори
събирам-(се)	събира
събирам-(се)	събират
събера-(се)	събрани
съгласно	съгласно
съдя-(се)	съди
съдя-(се)	съдят
съжаление	съжаление
със	със
състоя-се	състои
същевременно	същевременно
тон	т
този	тази
този	тая
телевизионен	тв
твърдение	твърдения
твърдя	твърди
твърдо	твърдо
аз	те
аз	теб
аз	тебе
този	тези
тяло	тела
териториален	териториалната
наш	техен
наш	техни
наш	техните
тим	тима
този	тия
този	това
тоест	тоест
аз	той
тревожа-(се)	тревожи
тръгна-(си)	тръгна
тръгна-(си)	тръгне
там	тук
така	тъй
аз	тя
аз	тях
наш	тяхната
наш	тяхното
уж	уж
управлявам	управляващите
усмихна-се	усмихна
успокоя-(се)	успокои
участник	участниците
хазайка	хазайката
харесам-(се)	хареса
харесвам-(се)	харесва
хвана-(се)	хвана
хиляда	хил.
хич	хич
час	часа
чер	черните
чисто	чисто
чувствам-(се)	чувствам
аз	я
ям-(се)	яде
