aktieselskab	A/S
Bush	Bush
da	Da
De	Dem
den	Den
der	Der
du	Du
en	En
være	Er
folketing	Folketinget
folketing	Folketingets
for	For
han	Han
hun	Hun
hvad	Hvad
hvis	Hvis
ikke-skyldig	IKKE-skyldig
ingen	Ingen
jamen	Jamen
jeg	Jeg
klokke	KL
med	MED
man	Man
med	Med
men	Men
og	OG
oplæser	OPLÆSER
og	Og
Park	Park
socialdemokrati	Socialdemokratiet
som	Som
The	The
venstre	Venstre
vi	Vi
anden	a.
aften	aftes
al	alle
alvorligt	alvorligt
argument	argumenter
betydeligt	betydeligt
blandt	bl.
blandt_andet	bl.a.
blød	bløde
burde	bør
de	dem
deciliter	dl
dybt	dybt
der	dér
det	dét
en	een
for_eksempel	f.eks.
fast	faste
fat	fat
figur	fig.
mange	flere
mange	fleste
flot	flotte
frem	frem
gram	g
grundigt	grundigt
gøre	gør
handle	handler
hvid	hvide
kilo	kg
kilo	kg.
kilometer	km
krone	kr.
lang	lange
langsomt	langsomt
lave	lavet
lokal	lokale
lægge	lægges
lyde	lød
MEDARB	medarb
meget	megen
meget	meget
million	mill.
mindst	mindst
millimeter	mm
normalt	normalt
når	når
nærmest	nærmest
næsten	næsten
ondt	ondt
procent	pct.
pres	pres
rundt	rundt
røre	rør
senest	senest
spændende	spændende
tage	tages
tage	taget
ti	ti
træt	trætte
turde	tør
umiddelbart	umiddelbart
ung	unge
vores	vor
vores	vore
vores	vort
væk	væk
årligt	årligt
øje	øjne
øvrigt	øvrigt
