an	'n
a	A
AE	AE
agus	AGUS
an	AN
ach	Ach
ag	Ag
agus	Agus
amach	Amach
an	An
aon	Aon
aontaithe	Aontaithe
ar	Ar
as	As
is	B'
is	Ba
Béal	Bhéal
cad	Cad
cathair	Cathrach
Cill	Chill
clár	Chlár
Conall	Chonaill
Corcaigh	Chorcaí
cá	Cá
cé	Cé
cé	Cén
do	D'
dlí	Dlí
Eo	Eo
Feirste	Feirste
Fiann	Fianna
forbairt	Forbairt
FÁS	FÁS
Gcom	Gcom
Gaeltacht	Ghaeltachta
gnó	Gnóthaí
go	Go
is	Is
le	LE
le	Le
le	Linn
liteartha	Liteartha
Láirge	Láirge
lárleabharlann	Lárleabharlann
mo	M'
maidir	Maidir
mar	Mar
Maigh	Mhaigh
mac	Mhic
má	Má
má	Más
an	NA
an	Na
nic	Nic
nuair	Nuair
ná	Ná
bí	Níl
níor	Níor
oireachtas	Oireachtas
Piarsach	Phiarsaigh
poiblí	Poiblí
seo	Seo
Seán	Sheáin
sin	Sin
taoiseach	Taoiseach
teach	Tigh
uachtarán	Uachtarán
uí	Uí
Uíbh	Uíbh
ag	a'm
is	ab
ag	agamsa
ag	aige
ainmnithe	ainmnithe
and	and
aontaithe	aontaithe
is	arbh
be	are
ar	arna
athnuachan	athnuachan
bí	atá
is	b'
parlaimint	bParlaimint
plean	bPlean
is	ba
bailithe	bailithe
bainte	bainte
beartaithe	beartaithe
bain	bhaineann
bainistiú	bhainistiú
bheith	bheith
bí	bhfuil
bliain	bhliana
breis	bhreise
bronnadh	bhronnadh
bunú	bhunú
post	bpostanna
buaite	buaite
is	b’
cathair	cathrach
ceangailte	ceangailte
ceiliúradh	ceiliúradh
ceathair	ceithre
cara	chairde
cheana	cheana
ceathair	cheithre
cinneadh	chinneadh
coinníoll	choinníollacha
comhlíonadh	chomhlíonadh
cruinniú	chruinnithe
cruthú	chruthú
clois	chuala
gach_uile	chuile
cónaí	chónaithe
cúrsa	chúrsaí
cibé	cibé
cinneadh	cinntí
ceann	cionn
clóite	clóite
coinníoll	coinníollacha
comhartha	comharthaí
comhoibriú	comhoibriú
creidiúnaithe	creidiúnaithe
cruthú	cruthú
críochnaithe	críochnaithe
curtha	curtha
cáilithe	cáilithe
cé	cén
cónaí	cónaithe
deara	deara
dearcadh	dearcadh
deimhniú	deimhniú
de	den
duine	dhaoine
do	di
do	domsa
do	don
do	dos
dtí	dtí
dírithe	dírithe
do	dó
earcú	earcú
eisiúint	eisiúint
faoi	faoin
faoi	faoina
feidhmiú	feidhmiú
feidhmiú	fheidhmiú
fuil	fola
for	for
forbairt	forbairt
foráil	forálacha
from	from
trí	fríd
faigh	fuair
faoi	fá
fágtha	fágtha
faoi	fé
faoi	fén
fógartha	fógartha
coimisiún	gCoimisiún
coiste	gCoiste
comhairle	gComhairle
comhphobal	gComhphobal
conradh	gConradh
contae	gContae
cúirt	gCúirt
Gaeilge	gaeilge
gan	gan
críoch	gcrích
glactha	glactha
gluaiseacht	gluaiseacht
gníomh	gníomhartha
gníomhú	gníomhú
is	gurb
is	gurbh
airteagal	hAirteagal
Eoraip	hEorpa
oibrí	hoibrithe
Éire	hÉireann
Éire	hÉirinn
iarraidh	iarraidh
idirghabháil	idirghabháil
i	im
i	ina
iniúchadh	iniúchadh
i	insa
it	it
laghdú	laghdú
leagtha	leagtha
leathnú	leathnú
leath	leith
le	linn
le	liomsa
lonnaithe	lonnaithe
le	léithe
ballstát	mBallstát
maidir	maidir
maoiniú	maoiniú
mar	mar
is	mba
bliain	mbliana
maoiniú	mhaoiniú
moladh	moltaí
muna	muna
mura	murar
my	my
má	más
ní	n'
éirigh	n-éirí
aire	nAirí
dún	nDún
an	na
duine	ndaoine
déan	ndearna
neartú	neartú
is	nárbh
is	níorbh
nó	nó
ó	o
of	of
plé	phlé
páirtí	pháirtithe
páirtnéir	pháirtnéir
post	postanna
páirtnéir	páirtnéirí
pé	pé
rannpháirtí	rannpháirtithe
rialú	rialú
déan	rinne
RT	rt
i	sa
sé	se
is	sea
seasta	seasta
saothrú	shaothrú
siad	siadsan
i	sna
soir	soir
soláthar	soláthar
sula	sular
síniú	síniú
athrú	t-athrú
acht	tAcht
aire	tAire
ombudsman	tOmbudsman
seirbhís	tSeirbhís
tacú	tacú
tagairt	tagairt
tagtha	tagtha
taighde	taighde
teagmháil	teagmháil
teanga	teangacha
thart	thart
the	the
treisiú	threisiú
thíos	thíos
tú	thú
teach	tigh
tiomanta	tiomanta
tionscnamh	tionscnamh
to	to
tonna	tonna
tugtha	tugtha
údarás	tÚdarás
tír	tíortha
uile	uilig
via	via
you	you
éirí	Éirí
ó	Ó
do	á
é	éard
éascú	éascú
éileamh	éileamh
duine	éinne
iasc	éisc
ó	ón
