is	'S
'ar	'ar
coimhead	'coimhead
cuir	'cur
rach	'dol
dèan	'dèanamh
bi	'eil
faigh	'faighinn
falbh	'falbh
feuch	'feuchainn
ag	'g
ag	'ga
mac	'ic
an	'n
an	'na
an	'nan
'nuair	'nuair
is	's
smaoinich	'smaoineachadh
airson	'son
thig	'tighinn
a	A
albannach	Albannach
an	Am
an	An
Aonghas	Aonghais
Beinn	Beinn
breatannach	Bhreatannach
Bruthainn	Bhruthainn
Bràighe	Bhràighe
Caledonian	Chaledonian
Cinn	Chinn
curracain	Churracain
Dùn	Dhùn
disathairne	Disathairne
dé	Dé
Dùn	Dùn
Eilein	Eilein
fiantach	Fiantaichean
gaidheal	Gaidheal
Greadaidh	Ghreadaidh
gàidhlig	Ghàidhlig
Gillean	Gillean
gàidhlig	Gàidhlig
Inbhir	Inbhir
is	Is
Loch	Loch
Locha	Locha
Mac	Mac
Mhic	Mhic
Muirich	Mhuirich
mongolach	Mongolaich
Nic	Nic
O	O
romansa	Romansachan
ruaidh	Ruaidh
Ròimh	Ròimh
Sealltainn	Sealltainn
Sgùrr	Sgùrr
Seumas	Sheumais
Tearach	Tearaich
Trèig	Trèig
[Name]	[name]
a	a
an	a's
a-measg	a-measg
a-neist	a-neist
a-nisd	a-nisd
a-nise	a-nise
a-rèir	a-rèir
a-réir	a-réir
a-seo	a-seo
a-sin	a-sin
a-thaobh	a-thaobh
ach	ach
ag	ag
agus	agus
aig	aig
ainmeil	ainmeil
airgid	airgid
airson	airson
aiseag	aiseag
aiseig	aiseig
Aitken	aitken
an	an
an-dràsda	an-dràsda
an	ann
an	anns
ar	ar
arsa	ars’
Bett	bett
beò-shlàinte	beò-shlàint'
bi	bh'
bi	bhith
bliadhna	bhliadhnaichean
bho	bho
bi	bhà
bi	bh’
bi	bith
bliadhna	bliadhna
bliadhna	bliadhnaichean
Bostardivitch	bostardivitch
brith	brith
buaidh	buaidh
is	b’
caran	caran
carson	carson
cha	cha
caill	chall
ceasnaich	cheasnachadh
cluinn	chluinntinn
coinneimh	choinneimh
choir	choir
coireigin	choireigin
cas	chois
gu	chon
cuir	chuireadh
cùm	chumail
gu	chun
faic	chunna
cuir	chur
cànan	chànain
ciamar	ciamar
co	co
cù	coin
Cooper	cooper
Cosmina	cosmina
cuimhne	cuimhn'
cuimhne	cuimhne
cuine	cuin'
cuir	cuir
cuir	cuiridh
cà	cà
càil	càil
càite	càit
cò	cò
có	có
cùise	cùise
do	d'
Dalgleish	dalgleish
Davidson	davidson
de	de
rach	deach
deiseil	deiseil
faoidte	dh'fhaoidte
do	dha
do	dhan
de	dhe
deidhinn	dheidhinn
deis	dheis
de	dhen
rach	dhol
dèan	dhèanamh
dùin	dhùnadh
Alba	dh’Alba
Astràilia	dh’Astràilia
aindeoin	dh’aindeoin
aois	dh’aois
faighneachd	dh’fhaighneachd
feum	dh’fheumadh
feum	dh’fheumas
iarr	dh’iarraidh
àite	dh’àite
do	do
duine	duin'
dè	dè
dé	dé
do	d’
e	e
eadar	eadar
eadar-dhealaichte	eadar-dhealaichte
eisimpleir	eisimpleir
e	esan
fala	fala
far	far
feadan	feadan
feadhainn	feadhainn
fearainn	fearainn
faic	fhaca
fhad	fhad
faic	fhaicinn
fada	fhaide
faigh	fhaighinn
faigh	fhuair
fàg	fhàgail
fèin	fhèin
féin	fhéin
fèin	fhìn
fiosrachadh	fiosrachadh
fo	fo
g'	g'
gach	gach
ge	ge
ged	ged
gearr	ghearradh
glé	glé
Greedy	greedy
gu	gu
gu	gum
is	gur
gus	gus
ameireaganach	h-Ameireaganaich
arabach	h-Arabaich
astràilianach	h-Astràilianaich
e	h-e
eilean	h-eileanan
iarr	h-iarraidh
uile	h-uile
àite	h-àiteachan
àraid	h-àraid
àraidh	h-àraidh
ùghdarras	h-ùghdarrasan
i	i
iad	iad
iad	iadsan
inns	innsidh
ionadail	ionadail
is	is
i	ise
Katernetch	katernetch
Iain	lain
latha	latha
le	le
leig	leigeil
le	leis
leth-uair	leth-uair
neach	luchd
làimh	làimh
lùib	lùib
mo	m'
ma	ma
ma-tha	ma-tha
mach	mach
MacIlvenny	macilvenny
MacLeish	macleish
MacStay	macstay
Malpas	malpas
man	man
mar	mar
mara	mara
marbhra	marbhrannan
mas	mas
McIlvenny	mcilvenny
mheud	mheud
mòr	mhotha
mòr-chuid	mhòr-chuid
mi	mi
milleadh	milleadh
Miller	miller
mi	mis'
mi	mise
mo	mo
motha	motha
mu	mu
mun	mun
mur	mur
mura	mura
mus	mus
mo	m’
ais	n-ais
an	nan
nas	nas
neo	neo
Nichol	nichol
Nicholl	nicholl
Nicol	nicol
nis	nis
nise	nise
no	no
nuair	nuair
bho	o
obair	obraichean
os	os
poileasadh	poileasaidhean
rathaid	rathaid
ri	ri
riamh	riamh
rinn	rinneadh
riochdair	riochdairean
ri	ris
ro	ro
ruige	ruige
rèir	rèir
réir	réir
sa	sa
saoidhean	saoidhean
seach	seach
sealladh	sealladh
seanchadh	seanchaidhean
seo	seo
seothach	seothach
seo	sheo
siud	shiud
suas	shuas
suidh	shuidhe
sìos	shìos
sibh	sibh
sibh	sibhse
sin	sin
sinn	sinn
sinn	sinne
siod	siod
siud	siud
siudach	siudach
smaoin	smaoineadh
so	so
soilleir	soilleir
Souness	souness
spàrr	sparran
Spasitch	spasitch
Stoykavitch	stoykavitch
