Αἰγινήτης	Αἰγινητέων
Αἰγύπτιος	Αἰγυπτίοισι
Βάττος	Βάττου
Βαβυλώνιος	Βαβυλωνίων
Βαρκαῖοι	Βαρκαίους
Βηθανία	Βηθανίαν
Βηθλέεμ	Βηθλέεμ
Βοιωτός	Βοιωτοῖσι
γαῖα	Γαίης
Γαλιλαία	Γαλιλαίαν
Γαλιλαία	Γαλιλαίας
Γαλιλαία	Γαλιλαίᾳ
Γεφυραῖος	Γεφυραῖοι
Δαυίδ	Δαυείδ
Δελφοί	Δελφοί
Δηιόκης	Δηιόκεω
Δημάρητος	Δημάρητον
Δημάρητος	Δημαρήτου
Δημάρητος	Δημαρήτῳ
Ζεύς	Διί
Δορίσκος	Δορίσκον
Δορίσκος	Δορίσκῳ
Εὔβοια	Εὐβοίης
Ζεύς	Ζῆν̓
Θῆβαι	Θήβῃσι
Θερμοπύλαι	Θερμοπύλας
Θεσσαλία	Θεσσαλίην
Θεσσαλία	Θεσσαλίης
Θρᾷξ	Θρήικες
Θρᾴκη	Θρηίκης
Θρᾷξ	Θρηίκων
Θρᾴκη	Θρηίκῃ
Κίμων	Κίμωνος
Καισάρεια	Καισάριαν
Καμβύσης	Καμβύσεω
Καππαδοκία	Καππαδοκίην
Κιλικία	Κιλικίας
Κλεισθένης	Κλεισθένεα
Κλεισθένης	Κλεισθένεος
Κλεομένης	Κλεομένεα
Κλεομένης	Κλεομένεος
Κνίδιος	Κνίδιοι
Κορίνθιος	Κορίνθιοι
Κορίνθιος	Κορινθίους
Κορίνθιος	Κορινθίων
Κόιντος	Κόιντον
Κύπρος	Κύπρον
Λακεδαιμόνιος	Λακεδαιμονίοισι
Λευτυχίδης	Λευτυχίδεω
Λεωνίδης	Λεωνίδῃ
Λεωτυχίδης	Λεωτυχίδην
Λιβύη	Λιβύην
Λιβύη	Λιβύης
Λίβυς	Λιβύων
Λοξίας	Λοξίης
Λυδός	Λυδοῖσι
Λυκάων	Λυκάονος
Λυκία	Λυκίης
Μῆδος	Μήδοισι
Μίλητος	Μίλητον
Μαρία	Μαρίαμ
Μαρία	Μαρίας
Μαρία	Μαριάμ
