prósent	<percent/>
abel	Abel
abraham	Abrahams
achior	Achior
adam	Adam
adam	Adams
addoníus	Addoníus
af	Af
afríka	Afríka
alanus	Alanus
alexander	Alexandri
alexander	Alexandro
alexander	Alexandrum
allur	Allir
allur	Allra
allur	Allt
amen	Amen
andri	Andri
andrés	Andrés
annar	Annar
annar	Annars
annar	Annað
anno	Anno
apolloníus	Apolloníus
apríl	Aprilis
aprival	Aprival
apríval	Apríval
apríval	Aprívals
apúlía	Apúlía
arason	Arason
arason	Arasonar
ari	Ari
aristoteles	Aristoteles
arkimagus	Arkimagus
arkistratus	Arkistratus
armenía	Armenía
arnardalur	Arnardal
arnbjörn	Arnbjörn
arngrímur	Arngrím
arngrímur	Arngríms
arngrímur	Arngrímur
aríus	Aríus
asia	Asia
assyria	Assyria
astrinómía	Astrinómía
austmaður	Austmaður
austurríkiskeisari	Austurríkiskeisara
austurríkiskeisari	Austurríkiskeisari
austurvegskonungur	Austurvegskonungar
austvestan	Austvestan
auðunn	Auðunar
auðunn	Auðuni
auðunn	Auðunn
að	Að
annar	Aðrir
babýlon	Babýlon
barði	Barða
beljus	Beljus
bergur	Bergi
bergur	Bergur
bergþórsson	Bergþórsson
bersi	Bersa
bersi	Bersi
berti	Berta
berti	Berti
bessastaðir	Bessastaða
bessastaðir	Bessastaði
bethulia	Bethulia
betlehem	Betlehem
binni	Binna
björg	Bjargar
bjarg	Bjargi
bjarmaland	Bjarmalandi
björn	Bjarnar
bjarnarson	Bjarnarson
bjarnarson	Bjarnarsonar
bjelke	Bjelke
bjelke	Bjelkes
björgvin	Björgvinjar
bláskógaheiði	Bláskógaheiði
bolt	Bolt
borg	Borgar
borgarfjörður	Borgarfjörð
brandenborg	Brandenborg
breiðabólsstaður	Breiðabólsstað
breiðabólstaður	Breiðabólstað
bremerhólmur	Bremerhólmi
brynjólfur	Brynjólf
brynjólfur	Brynjólfi
brynjólfur	Brynjólfs
brynjólfur	Brynjólfur
bræðratunga	Bræðratungu
bucholt	Bucholt
bylgja	Bylgja
bylgja	Bylgju
bárður	Bárði
bárður	Bárður
bæring	Bæring
bólstaðarhlíð	Bólstaðarhlíð
bölverkur	Bölverki
bölverkur	Bölverks
bölverkur	Bölverkur
böðvar	Böðvar
böðvar	Böðvari
christian	Christians
kristur	Christus
collins	Collins
dalir	Dali
dalmaría	Dalmaría
danakonungur	Danakonungs
dani	Danir
danmörk	Danmörk
darius	Darii
darius	Dario
darius	Darium
darius	Darius
daði	Daða
daði	Daði
desilíus	Desilíus
didrich	Didrich
dixin	Dixin
djúnki	Djúnki
doctor	Doctor
dofri	Dofra
dofri	Dofri
dominus	Domini
dominus	Dominus
dr	Dr
drottinn	Drottin
drottinn	Drottinn
drottinn	Drottins
drottinn	Drottni
dufgusson	Dufgusson
dumas	Dumas
ef	EF
edmond	Edmond
ef	Ef
eftir	Eftir
ég	Eg
eggert	Eggert
eggert	Eggerts
egill	Egill
ekki	Eigi
einar	Einars
einn	Einn
eins	Eins
eiríkur	Eirík
eiríkur	Eiríki
