Aculus	Aculo
ad	Ad
Adalpertus	Adalberti
Adalpertus	Adalberto
Adalpertus	Adalbertus
Adelchisus	Adalchisi
Adaltruda	Adaldruda
Adalfridus	Adalfridi
Adelchisus	Adalghisi
Adalmannus	Adalmanno
Adalpertus	Adalperti
Adalpertus	Adalperto
Adalpertus	Adalpertum
Adalprandus	Adalprandi
Adalprandus	Adalprando
Adelchisus	Adelghisi
Adalpertus	Adelpertus
Ademarius	Ademari
Adonaldus	Adonaldo
Adegrimus	Adugrimo
Agellus	Agello
Agelmannus	Aggelmanno
Agiprandus	Agiprandi
Agiprandus	Agiprando
Agiprandus	Agiprandu
Augustinus	Agustino
Aidus	Aido
alamannus	Alamanno
Alateus	Alatei
Alateus	Alateo
Albolfus	Albolfi
Albonus	Alboni
Walcarius	Alcari
Alahis	Alchisi
alcides	Alcidae
Alexander	Alexandrii
Alipertus	Alipertu
Alprandus	Aliprandi
Alprandus	Aliprando
Alisus	Alisi
Allus	Allo
Aloin	Aloni
Alparus	Alpari
Alpertus	Alpert
Alpertus	Alperti
Alpertus	Alperto
Alpertus	Alpertu
alphesibeus	Alphesibeus
Alprandus	Alprand
Alprandus	Alprando
Alpulus	Alpulo
amor	Amor
Andreas	Andree
Angilpertus	Angalperto
Angilpertus	Angalpertus
Angelus	Angilo
Anselmus	Ansalmi
Anselmus	Anselmo
Ansimus	Ansimi
Anspaldus	Anspald
Anspaldus	Anspaldi
Ansualdus	Ansualdo
Antiochea	Antiochiam
Appius	Appio
Appus	Appo
Ardifusus	Ardifuso
Ardimannus	Ardimanni
Ardimannus	Ardimanno
Ardus	Ardo
Arena	Arena
Armis	Arme
Arnus	Arno
Aruchisus	Aroghisi
Aron	Aron
Arpinas	Arpinati
Asilactum	Asilacto
Aspertus	Asperti
Asprandus	Asprando
Asular	Asulari
Ataprandus	Ataprando
Ataprandus	Ataprandu
Atus	Ati
Atus	Ato
Atripaldus	Atripaldi
Atripertus	Atriperto
Atrualdus	Atrualdum
Auderamus	Auderamo
Audipertus	Audiperti
Aufridus	Aufridi
Aurilandus	Aurilando
Auripertus	Auriperti
Auripertus	Auriperto
Auriprandus	Auriprandi
Austripertus	Austriperti
Autelmus	Autelmi
b	B
bacchus	Bacchi
Baldericus	Balderichi
Baldericus	Baldericho
Baptista	Baptista
Barabbas	Barabban
Barnabas	Barnaba
Barnabas	Barnaban
Barucius	Barucci
Belisarius	Bellisari
Belisarius	Bellisario
Belisarius	Bellisarius
Benedictus	Benedicto
Benedictus	Benedictu
Berengarius	Berengario
Bertaldus	Bertaldo
Bethleem	Bethleem
Bibulus	Bibulus
Bonifridus	Bonifridi
Boniprandus	Boniprando
Brancalum	Brancalo
Campulus	Campulo
Capannula	Capannule
Carolus	Carulo
Casalis	Casale
Cassianus	Casciani
