#deal	#DEAL
#BR	#br
#EMBR3	#embr3
#OIL	#oil
#PETR3	#petr3
#SBSP3	#sbsp3
$AEDU3	$aedu3
$ALLL3	$alll3
$BBAS3	$bbas3
$BBDC3	$bbdc3
$BBDC4	$bbdc4
$CPFE3	$cpfe3
$CRUZ3	$cruz3
$CYRE3	$cyre3
$DASA3	$dasa3
$DTEX3	$dtex3
$ECOR3	$ecor3
$ELET3	$elet3
$EMBR3	$embr3
$ESTC3	$estc3
$EVEN3	$even3
$GOLL4	$goll4
$MRVE3	$mrve3
$PETR3	$petr3
$PETR4	$petr4
$RENT3	$rent3
$SBSP3	$sbsp3
$VALE3	$vale3
-se	-SE
-a	-a
-as	-as
-la	-la
-las	-las
-lhe	-lhe
-lo	-lo
-los	-los
-me	-me
-na	-na
-nas	-nas
-no	-no
-o	-o
-os	-os
-se	-se
-te	-te
@CaciqueInvest	@caciqueinvest
@Live_Trade	@live_trade
@Smarttrade10	@smarttrade10
AA	AA
apdl	APDL
Argilas	ARGILAS
as	AS
ação	Acoes
Age	Age
ago/e	Ago/e
agualusa	Agualusa
Alagoas	Alagoas
Albiano	Albiano
alexandra	Alexandra
algum	Alguma
algumas	Algumas
alguém	Alguém
Alicia	Alicia
alqueva	Alqueva
alteração	Alteracao
Amar	Amar
Andar	Andar
Anhanguera	Anhanguera
anica	Anica
Antena	Antena
após	Após
aquilo	Aquilo
aquisição	Aquisicao
Arai	Arai
Arco	Arco
Areado	Areado
Arraial	Arraial
arriaga	Arriaga
arrábida	Arrábida
Asfáltico	Asfáltico
Assine	Assine
até	Até
Avançada	Avançada
avignolo	Avignolo
AÇÕES	AÇÕES
BB	BB
bpi	BPI
Bacia	Bacia
Baía	Baia
balcãs	Balcãs
barata	Barata
Barracuda	Barracuda
Barras	Barras
Batistas	Batistas
belenenses	Belenenses
bessa	Bessa
betty	Betty
bissau	Bissau
bosco	Bosco
bruxelas	Bruxelas
bósnia-herzegovina	Bósnia-Herzegovina
Búzios	Búzios
cd	CD
cds-pp	CDS-PP
cmvm	CMVM
cnn	CNN
CO	CO
Ca	Ca
Cachoeira	Cachoeira
cada	Cada
caldeira	Caldeira
calendário	Calendario
calouste	Calouste
Cantareira	Cantareira
Cara	Cara
Carbono	Carbono
Carioca	Carioca
catroga	Catroga
Certificadas	Certificadas
Chapadão	Chapadão
chaplin	Chaplin
charlie	Charlie
chiado	Chiado
cimpor	Cimpor
citroën	Citroën
com	Com
como	Como
Compacta	Compacta
compra	Compra
comunicado	Comunicado
contas	Contas
contra	Contra
Covas	Covas
Cretáceo	Cretáceo
Cruzeiro	Cruzeiro
cuíto	Cuíto
Círio	Círio
Córrego	Córrego
de	DE
davis	Davis
de	De
delgada	Delgada
demonstração	Demonstracoes
deng	Deng
desde	Desde
Dessorção	Dessorção
disposição	Disposicao
distribuição	Distribuicao
drulovic	Drulovic
dulce	Dulce
durante	Durante
dâmaso	Dâmaso
E-W	E-W
em	EM
em_	EM_
ENE	ENE
ENERGIA	ENERGIA
estar	ESTÁ
eanes	Eanes
Econômico	Econômico
ele	Ele
em	Em
em_	Em_
embora	Embora
emissão	Emissao
Empreendimentos	Empreendimentos
Empresa	Empresa
enquanto	Enquanto
entre	Entre
então	Então
Eoceno	Eoceno
ser	Era
ermelinda	Ermelinda
esposende	Esposende
esse	Esse
Estadual	Estadual
estar	Estamos
estar	Estava
este	Este
estar	Estou
estar	Está
estar	Estávamos
estar	Estão
eu	Eu
eugénio	Eugénio
FASE	FASE
fifa	FIFA
Faraday	Faraday
festa	Festa
festas	Festas
fig.	Fig.
figura	Figura
Flamengo	Flamengo
Fogo	Fogo
ser	Foi
ser	Foram
Formações	Formações
Fratura	Fratura
Frio	Frio
ser	Fui
Furado	Furado
gatt	GATT
GO	GO
GOL	GOL
Galena	Galena
gerschenfeld	Gerschenfeld
Goiás	Goiás
Google	Google
Grossa	Grossa
gráfico	Gráfic
HH	HH
havel	Havel
hebron	Hebron
helmut	Helmut
herman	Herman
hz	Hz
INVISTA	INVISTA
isso	ISSO
Inferior	Inferior
inglês	Ingles
Interpretação	Interpretação
isso	Isso
isto	Isto
jsd	JSD
jacarta	Jacarta
Japi	Japi
jordan	Jordan
Jornada	Jornada
Judiciário	Judiciário
Junior	Junior
Júpiter	Júpiter
keith	Keith
keul	Keul
kinshasa	Kinshasa
kosovo	Kosovo
lang	Lang
leilão	Leilao
Libertadores	Libertadores
Limpo	Limpo
Lineamento	Lineamento
lonet	Lonet
loulé	Loulé
lurdes	Lurdes
MORAIS	MORAIS
Magnética	Magnética
mais	Mais
malheiros	Malheiros
mary	Mary
mas	Mas
Mauro	Mauro
Membro	Membro
mercado	Mercado
meu	Meu
milhazes	Milhazes
Minas	Minas
Mineiro	Mineiro
Mioceno	Mioceno
monsanto	Monsanto
moore	Moore
Moro	Moro
Morro	Morro
Moscou	Moscou
nasa	NASA
NW-SE	NW-SE
Na	Na
nada	Nada
não	Nao
negreiros	Negreiros
nenhum	Nenhum
nosso	Nosso
novembro	Novembro
Nuclear	Nuclear
nápoles	Nápoles
nós	Nós
OH	OH
opa	OPA
Oceano	Oceano
oeiras	Oeiras
olivais	Olivais
onde	Onde
ou	Ou
para	P/
para	PARA
pga	PGA
por	POR
psd-porto	PSD-Porto
Palmeiras	Palmeiras
para	Para
parabéns	Parabéns
paredes	Paredes
Participações	Participações
Pará	Pará
Patos	Patos
pedros	Pedros
Pelotas	Pelotas
pensar	Penso
peres	Peres
pinharanda	Pinharanda
Pinheiros	Pinheiros
pontes	Pontes
por	Por
portalegre	Portalegre
portos	Portos
portugais	Portugais
Potência	Potência
Press	Press
Preta	Preta
Procuradoria-Geral	Procuradoria-Geral
próprio	Proprio
Protocolo	Protocolo
Pré-Sal	Pré-Sal
Prêmio	Prêmio
quando	Qdo
qual	Quais
qual	Qual
qualquer	Qualquer
quando	Quando
queirós	Queirós
quem	Quem
ROCHA	ROCHA
rastreamento	Rastreamento
Recife	Recife
reeves	Reeves
reformas	Reformas
relvas	Relvas
renamo	Renamo
Renda	Renda
represas	Represas
resultado	Resultado
revez	Revez
ritz	Ritz
roberts	Roberts
robin	Robin
Santos	SANTOS
spi	SPI
saída	Saída
se	Se
seguir	Segue
segundo	Segundo
sem	Sem
ser	Será
seu	Seu
Siderúrgica	Siderúrgica
Sinclinal	Sinclinal
sinfónica	Sinfónica
sobre	Sobre
sodré	Sodré
ser	Somos
ser	Sou
Sr	Sr
Sub-Bacia	Sub-Bacia
supertaça	Supertaça
ser	São
Sítio	Sítio
TA	TA
tsf	TSF
estar	Ta
tabela	Tabelas
tadeia	Tadeia
Tale	Tale
Telefônica	Telefônica
ter	Tem
Temer	Temer
ter	Temos
Terciário	Terciário
Terreno	Terreno
Tiririca	Tiririca
todo	Todo
tomás	Tomás
torralta	Torralta
tu	Tu
tudo	Tudo
Tupi	Tupi
taxa	Tx.
estar	Tá
Tó	Tó
U	U
udp	UDP
um	Um
Usina	Usina
venda	VENDA
ir	Vai
valentim	Valentim
ir	Vamos
você	Vc
venda	Venda
veneza	Veneza
vietname	Vietname
Viva	Viva
você	Você
você	Vocês
ir	Vou
Weber	Weber
wet	Wet
woody	Woody
xvi	XVI
xvii	XVII
zaire	Zaire
a_	a_
abate	abate
abordar	abordada
academia	academia
acanalar	acanalada
acerca	acerca
acionista	acionistas
acontecer	acontecido
activo	activa
actriz	actrizes
acumular	acumulados
adaptar	adaptada
adiar,adiado	adiados
adicionar	adicionada
adicionar	adicionados
adoptar,adoptado	adoptada
adotar	adotada
adotar	adotadas
advogado	advogado
afastar	afastada
afectar,afectado	afectadas
aflorante	aflorantes
africano	africana
agenda	agenda
ajustar	ajustadas
ala	ala
Alckmin	alckmin
aliança	aliança
alma	alma
alternar	alternada
alumina	alumina
aluno	aluna
amarelo	amarela
ambiente	ambientes
amnistia	amnistia
amostra	amostra
anti-aglomerante	anti-aglomerantes
antitético	antitética
antitético	antitéticas
aparecer	aparecido
aplicar	aplicada
apontar	apontada
aposentado	aposentado
apostar	aposto
argilomineral	argilominerais
arguido	arguido
arma	arma
armazenar	armazenada
aroma	aroma
artigo	art.
articulado	articulado
asfalteno	asfaltenos
assessor	assessores
associar	associada
até	ate
atender	atendida
atentado	atentado
ativo	ativas
atriz	atriz
atuante	atuantes
atômico	atômica
aumentar	aumentada
auto-estrada	auto-estrada
auto-estrada	auto-estradas
automático	automáticas
avaria	avaria
aventura	aventura
bala	bala
balada	balada
bancada	bancada
banda	banda
bandeira	bandeira
barreira	barreira
bastantes	bastantes
batalha	batalha
bater	batida
bebê	bebê
beira	beira
bilhão	bi
bilhão	bilhão
bilhão	bilhões
bloquear	bloqueada
bom	boas
bobina	bobina
boca	boca
bola	bola
bola	bolas
bolha	bolha
bolsa	bolsa
bomba	bomba
borda	borda
branco	brancas
broca	broca
bárbara	bárbara
com	c/
cais	cais
calcita	calcita
calcular	calculada
calcular	calculados
calha	calha
calça	calça
caminhada	caminhada
cana	cana
cantar	cantada
capa	capa
capitalizar	capitalizada
capítulo	capitulo
captura	captura
capturar	capturada
capturar	capturadas
caracterizar	caracterizadas
carbeto	carbetos
carboduto	carbodutos
carbonático	carbonáticas
carinho	carinho
carregar	carregados
carrinho	carrinho
carta	carta
carteira	carteira
carvalhas	carvalhas
casa	casa
cascais	cascais
catarina	catarina
catiônico	catiônicas
cautela	cautela
caça	caça
cerca	cerca
cerne	cerne
cerveja	cerveja
cerâmica	cerâmica
chapa	chapa
chegada	chegada
chegar	cheguei
companhia	cia
