a	A
ak	Ak
ale	Ale
alfonz	Alfonz
amy	Amy
asi	Asi
barbie	Barbie
blythe	Blythe
byť	Bola
brien	Brien
brien	Briena
chrabroš	Chrabroš
chris	Chris
chris	Chrisa
chris	Chrisom
chris	Chrisovi
dobre	Dobre
emanuel	Emanuel
eú	EÚ
ešte	Ešte
faika	Faika
fajn	Fajn
ferdo	Ferdo
fil	Fil
flip	Flip
gaston	Gaston
hádes	Hádes
irma	Irma
byť	JE
ja	Ja
byť	Je
jill	Jill
júlia	Júlia
kasandra	Kasandra
keď	Keď
kto	Kto
len	Len
liza	Liza
lori	Lori
maja	Maja
maja	Maji
maja	Maju
marga	Marga
marga	Margu
meg	Meg
možno	Možno
my	My
mať	Mám
na	Na
naozaj	Naozaj
môcť	Nemôžem
vedieť	Neviem
nie	Nie
niečo	Niečo
nič	Nič
no	No
novgorod	Novgorode
Omar	Omar
petronila	Petronila
pinocchio	Pinocchio
polly	Polly
prečo	Prečo
rick	Rick
rudko	Rudko
rus	Rusi
sr	SR
samozrejme	Samozrejme
sergej	Sergej
shannon	Shannon
byť	Si
byť	Sme
byť	Som
soni	Soni
správne	Správne
byť	Ste
sírius	Sírius
byť	Sú
tak	Tak
takže	Takže
tarzan	Tarzan
tayerle	Tayerle
tekla	Tekla
tom	Tom
toto	Toto
truhlík	Truhlík
tu	Tu
ty	Ty
tá	Tá
uhorsko	Uhorska
určite	Určite
už	Už
veru	Veru
veď	Veď
vilko	Vilko
vilko	Vilkom
vilko	Vilkovi
wendy	Wendy
winston	Winston
winston	Winstona
winston	Winstonovi
Abdullah	abdullah
aba	abu
Aladin	aladin
Baghíra	baghíra
Balú	balú
celkom	celkom
diať	deje
dole	dole
hodinky	hodinky
irma	irma
Jazmína	jazmína
ktože	ktože
marga	marga
Mauglí	mauglí
medzi	medzi
mimoriadne	mimoriadne
byť	nebol
byť	nebola
byť	neboli
byť	nebolo
byť	nebude
byť	nebudem
chcieť	nechcela
dať	nedalo
mať	nemal
mať	nemala
mať	nemalo
môcť	nemohla
môcť	nemohol
mať	nemá
mať	nemám
môcť	nemôže
môcť	nemôžem
môcť	nemôžeš
odpovedať	neodpovedal
povedať	nepovedal
poznať	nepoznal
počúvať	nepočúval
stať	nestalo
trvať	netrvalo
urobiť	neurobil
vedieť	nevedel
vedieť	nevedela
vidieť	nevidel
vidieť	nevidela
vedieť	nevie
vedieť	neviem
vládať	nevládal
záležať	nezáleží
čakať	nečakal
byť	niet
niečo	niečím
náhodou	náhodou
Omar	omar
ona	ony
pokiaľ	pokiaľ
pokým	pokým
pol	pol
popoludní	popoludní
potom	potom
preto	preto
prostredníctvom	prostredníctvom
práve	práve
rudko	rudko
sa	sa
sadnúť	sadla
soni	soni
to	to
trochu	trochu
tuším	tuším
večer	večera
veď	veď
winston	winstona
zasa	zasa
zatiaľ	zatiaľ
začiatkom	začiatkom
zrazu	zrazu
zúfalo	zúfalo
áno	Áno
čo	Čo
ďurovič	Ďurovič
ďalej	ďalej
ľubomír	ľubomír
