ANSI89	ANSI-89
ANSI92	ANSI-92
Access	Access
all	Alla
Auster	Austers
component	Components
Connectionstring	ConnectionString
de	De
den	Den
den	Det
Drive	Drive
du	Du
Dursley	Dursleys
EEC-land	EEC-länderna
EEC	EEC:s
EU	EU:s
en	En
ni	Er
en	Ett
han	Han
hon	Hon
i	I
inte	Inte
jag	Jag
KPI	KPI
Kristi	Kristi
men	Men
jag	Min
jag	Mitt
ni	Ni
när	När
och	Och
om	Om
Petunia	Petunia
Ron	Ron
Ryan	Ryan
SQLfrågeläge	SQL-frågeläge
SQLfrågeläge	SQL-frågelägen
se	Se
Stillman	Stillmans
the	The
VDN	VDN
vad	Vad
vi	Vi
vilja	Vill
XML-fil	XML-fil
adressort	adressorten
alls	alls
annan	andras
angående	angående
anslutningsfil	anslutningsfilen
Auster	auster
beträffande	beträffande
betydande	betydande
betydligt	betydligt
bil	bilar
bit	biten
bland_annat	bl.a.
bort	bort
Bray	bray
både	både
circa	ca
du	din
docent	doc.
dominerande	dominerande
driva	drev
dra	drog
drygt	drygt
dubb	dubbar
ni	er
ni	ert
et_cetera	etc
extremt	extremt
faktiskt	faktiskt
finnas	fanns
finnas	finns
fisk	fiskar
många	fler
många	flera
många	flesta
flåsande	flåsande
fortfarande	fortfarande
framför	framför
far	fäder
färdigt	färdigt
följande	följande
förebyggande	förebyggande
förvärvsarbetande	förvärvsarbetande
förvärvsarbete	förvärvsarbete
genast	genast
godo	godo
gällande	gällande
han	hans
hastigt	hastigt
hos	hos
hyreslag	hyreslagen
imponerande	imponerande
inför	inför
ställa+in	inställd
intresserad	intresserad
irriterande	irriterande
jämför	jfr
kapitel	kap.
klockan	kl
klockan	kl.
knappast	knappast
knappt	knappt
kraftigt	kraftigt
kännas	känns
lekcirkel	lekcirkeln
levande	levande
liknande	liknande
likt	likt
lär	lär
med_flera	m.fl.
make	makar
mycket	mera
mycket	mesta
miljon	milj
jag	min
jag	mina
motsvarande	motsvarande
Mr	mr
Mrs	mrs
noggrant	noggrant
när	när
närvarande	närvarande
of	of
omedelbart	omedelbart
omfattande	omfattande
pengar	pengar
pivottabellvy	pivottabellvyn
Quinn	quinn
rakt	rakt
redan	redan
relativt	relativt
respektive	resp
runt	runt
sammanlagt	sammanlagt
samtidigt	samtidigt
skola	skall
skiftande	skiftande
skriva	skrev
skjuta	sköt
slag	slags
släppområde	släppområden
snart	snart
stackars	stackars
sten	stenar
Stillman	stillman
strängt	strängt
ständigt	ständigt
se	såg
sådan	sån
sådan	såna
t.ex.	t.ex
till_exempel	t.ex.
till_och_med	t.o.m.
tillfredsställande	tillfredsställande
totalt	totalt
tyckas	tycks
uppför	uppför
vare	vare
värderegel	värderegeln
vi	vår
vi	vårt
vara	Är
vara	är
åt	åt
